Card Title,Card Images,Card Annual Fees,Card Purchase Interest Rate,Cash interest rate,Product Value Prop,Product Benefits, Name,Card Details
CIBC Dividend Platinum  Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/dividend-cards/cibc-dividend-platinum-visa-card/cibc-dividend-platinum-visa-card-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$99,20.99%,22.99%,Reward your everyday spending with the cash back card that gives you more.,"3% cash back on eligible gas, electric vehicle charging and groceries * 2% cash back on eligible transportation, dining and recurring payments * Save on gas | Auto Rental Collision Insurance | Pay in installments",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-platinum-card.html
CIBC Dividend  Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/dividend-cards/cibc-dividend-visa-card/cibc-dividend-visa-card-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,"Get the reliable, everyday use card that earns you cash back on daily essentials for no annual fee.","2% cash back on eligible groceries * 1% cash back on eligible gas, electric vehicle charging, transportation, dining and recurring payments * Save on gas | Extended warranty | CIBC Pace It Installment Plans",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-card.html
CIBC Dividend  Visa* Card for Students,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/dividend-cards/cibc-dividend-visa-card-for-students/cibc-dividend-visa-card-for-students-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,"Student budgets go further with cash back on groceries, transportation and other daily essentials.","2% cash back on eligible groceries * 1% cash back on eligible gas, electric vehicle charging, transportation and recurring payments * Free SPC+ membership | Extended warranty | Pay in installments",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-for-students.html
CIBC Costco Mastercard,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/costco-card/cibc-mastercard-costco.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.75%,22.49%,The CIBC Costco Mastercard is exclusively for Costco members.,"3% cash back at restaurants and Costco gas * 2% cash back at other gas stations, electric vehicle charging stations and at Costco.ca * CIBC Pace It Installment Plans: Special rates on eligible Costco purchases",CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/costco-mastercard.html
CIBC U.S. Dollar Aventura  Gold Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-us-dollar-aventura-gold-visa-card/cibc-visa-aventura-us-dollar-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$35,20.99%,22.99%,Shop across the border? Skip the currency conversion fees.,1 point per $1 on travel booked through the CIBC Rewards Centre * 1 point for every $2 spent on all other purchases * No currency conversion fees for USD purchases,CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/us-dollar-aventura-gold-visa-card.html
CIBC Select Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/select-cards/cibc-select-visa-card/cibc-visa-select-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$29,13.99%,13.99%,Reduce interest payments with a low interest rate credit card.,Get a first year annual fee rebate * Save up to 10 cents per litre on gas with CIBC and Journie Rewards * Send money abroad with $0 transfer fee with CIBC Global Money Transfer,CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/select-visa-card.html
CIBC Aventura  Visa* Card for Business,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-visa-card-for-business/cibc-visa-aventura-gold-business-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$180,12.99%,12.99%,Experience more of the world with our most flexible travel rewards program.,"2 points per $1 on travel booked through the CIBC Rewards Centre * 1.5 points per $1 on eligible gas, electric vehicle charging, flights, hotels and other travel * Transfer Aventura points between accounts",CIBC,https://www.cibc.com/en/business/credit-cards/aventura-visa.html
CIBC Aeroplan  Visa* Business Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aeroplan-cards/cibc-aeroplan-visa-business-card/cibc-aeroplan-business-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$180,12.99%,12.99%,Earn faster so you can travel more.,"2 points per $1 directly with Air Canada and Air Canada Vacations * 1.5 points per $1 on internet, cable, travel, dining and more * First bag free | Lounge access | Preferred pricing",CIBC,https://www.cibc.com/en/business/credit-cards/aeroplan-visa-business.html
CIBC Costco Business Mastercard,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/costco-card/cibc-mastercard-costco-business.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.75%,22.49%,The only business credit card exclusively for Costco members.,"3% cash back at Costco gas and restaurants * 2% cash back at Costcobusinesscentre.ca, at Costco.ca, on shipping, on insurance services, at other gas stations and at electric vehicle charging stations * CIBC Pace It Installment Plans: Special rates on eligible Costco purchases",CIBC,https://www.cibc.com/en/business/credit-cards/costco-mastercard-business.html
CIBC Aventura  Visa* Card for Business Plus,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aventura-cards/cibc-aventura-visa-card-for-business-plus/cibc-visa-aventura-business-plus-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$120,19.99%,22.99%,Experience more of the world with our most flexible travel rewards program.,"2 points per $1 on travel booked through the CIBC Rewards Centre * 1.5 points per $1 on eligible gas, electric vehicle charging and travel purchases * Transfer Aventura points between accounts",CIBC,https://www.cibc.com/en/business/credit-cards/aventura-plus-visa.html
CIBC Aeroplan  Visa* Business Plus Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/aeroplan-cards/cibc-aeroplan-visa-business-plus-card/cibc-aeroplan-business-plus-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$120,19.99%,22.99%,Earn faster so you can travel more.,"2 points per $1 directly with Air Canada and Air Canada Vacations * 1.5 points per $1 on internet, cable, travel, dining and more * First bag free | Lounge access | Preferred pricing",CIBC,https://www.cibc.com/en/business/credit-cards/aeroplan-visa-business-plus.html
CIBC bizline  Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/bizline-cards/cibc-bizline-visa-card-for-business/cibc-visa-bizline-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,1.50%,1.50%,Grow your business with affordable credit and low interest rates.,"Access high credit limit up to $50,0001 * Add up to 9 cardholders under one account * CIBC CreditSmart helps you track your credit card activity",CIBC,https://www.cibc.com/en/business/credit-cards/bizline-visa.html
CIBC Corporate Classic Plus Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/corporate-cards/cibc-corporate-classic-plus-visa-card/cibc-visa-corporate-classic-plus-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$20,19.99%,22.99%,Effectively track business expenses through customized Visa Business Reporting.,Enjoy automatic savings with Visa SavingsEdge * Securely access all account information for your business * Up to 25% off car rentals at participating Avis and Budget locations,CIBC,https://www.cibc.com/en/business/credit-cards/corporate-classic-plus-visa.html
CIBC Classic Visa* Card,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/classic-cards/cibc-classic-visa-card/cibc-classic-visa-card-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,Get insurance coverage for no annual fee.,Send money abroad with $0 transfer fee with CIBC Global Money Transfer * Pay off large purchases with CIBC Pace It low rate Installment Plans * Save up to 10 cents per litre on gas with CIBC and Journie Rewards ,CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/classic-visa-card.html
CIBC Classic Visa* Card for Students,https://www.cibc.com/content/dam/global-assets/card-art/credit-cards/classic-cards/cibc-classic-visa-card-for-students/cibc-classic-visa-card-for-students-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,$0,20.99%,22.99%,Send money abroad with $0 transfer fee with CIBC Global Money Transfer.,Free SPC+ membership | CIBC Pace It Installment Plans * Save up to 10 cents per litre on gas with CIBC and Journie Rewards,CIBC,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/classic-visa-for-students.html
BMO eclipse rise Visa* Card,https://www.bmo.com/dist/images/personal/credit-cards/bmo-eclipse-visa-rise-card-1.webp,$0,21.99%,23.99%,"You deserve to be rewarded! Get 20,000 points and a 0.99% introductory interest rate on Balance Transfers for 9 months with a 2% transfer fee.91,§§ Plus, earn up to 5,000 bonus points every year!","Earn a bonus of up to 5,000 points every year! Pay your full credit card balance on time for 12 consecutive months and get 2,500 bonus points, and get another 2,500 bonus points for redeeming at least 12,000 BMO Rewards points towards your credit card purchases using Pay with Points every year - it™s as easy as redeeming 1,000 points a month! *  5x Five times the points for every $2 spent on dining in and out, groceries, and recurring bill payments,1 point for every $2 spent on everything else. *  Get up to $1,000 worth of protection for your smartphone, cellular phone or tablet worldwide when purchased or financed with a Canadian wireless service provider on your card",BMO,https://www.bmo.com/en-ca/main/personal/credit-cards/bmo-eclipse-rise-visa/
BMO eclipse Visa Infinite* Card,"        https://www.bmo.com/dist/images/personal/credit-cards/infinite/NpsPEm30TM.png
",$120,21.99%,23.99%,"You deserve to be rewarded! Get up to 60,000 points and the $120 annual fee waived in the first year."," 5x the points for every $1 spent on groceries, dining in and out, gas, and transit, 1 point for every $1 spent on everything else * Earn 10% more points on all purchases when you add an authorized user to your account * Get up to $1,000 worth of protection for your smartphone, cellular phone or tablet worldwide when purchased or financed with a Canadian wireless service provider on your card. ",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-eclipse-visa-infinite/
BMO Ascend World Elite®* Mastercard®*,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-rewards-world-elite-mastercard.png",$150,21.99%,23.99%,"Get up to 90,000 points and the annual fee waived in the first year for both the primary cardholder and authorized users.","5x the points for every $1 spent on eligible travel purchases 3x the points for every $1 spent on eligible dining and entertainment purchases and recurring bill payments, 1 point for every $1 spent everywhere else.",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-ascend-world-elite-mastercard/
BMO eclipse Visa Infinite Privilegefootnote* Card,"	https://www.bmo.com/dist/images/personal/credit-cards/infinite/scO832ZxPK.png",$599,21.99%,23.99%,"You deserve to be rewarded! Get up to 120,000 points.","5x the points for every $1 spent on groceries, dining in and out, drugstore purchases, gas, and travel, 1 point for every $1 spent on everything else * Earn 25% more points on all purchases when you add an authorized user to your account *  Out-of-Province/Country Emergency Medical Insurance, Common Carrier Insurance, and Car Rental Collision or Loss Damage Insurance, Trip Cancellation/Trip Interruption Insurance, Flight Delay and Baggage Insurance",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-eclipse-visa-infinite-privilege/
BMO CashBack® Mastercard®*,"        https://www.bmo.com/dist/images/personal/credit-cards/bmo-cashback-mastercard.png
",$0,21.99%,23.99%,Get up to 5% cash back in your first 3 months¡¡ and a 0.99% introductory interest rate on Balance Transfers for 9 months with a 2% transfer fee.,"After your first 3 months, get 3% cash back on grocery purchases, 1% cash back on recurring bill payments and 0.5% unlimited cash back on all other purchases.",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-cashback-mastercard/
BMO Preferred Rate Mastercard®*,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-preferred-rate.png",$29,13.99%,15.99%,Get a 0.99% introductory interest rate on Balance Transfers for 9 months with a 2% transfer fee? and we’ll waive the $29 annual fee for the first year.,N/A,BMO,https://www.bmo.com/main/personal/credit-cards/preferred-rate-mastercard/
BMO AIR MILES®  Mastercard®*,"        https://www.bmo.com/dist/images/personal/credit-cards/bmo-air-miles-mastercard.webp
",$0,21.99%,23.99%,Get 800 AIR MILES Bonus Miles¡ (that™s enough for $80 towards purchases with AIR MILES Cash) and a 0.99% introductory interest rate on balance transfers for 9 months with a 2% transfer fee.,"1 Mile for every $25 spent * Always get 3x the Miles for every $25 spent at participating AIR MILES Partners *
Get 2x the Miles for every $25 spent at any eligible grocery store *
Get 2x the Miles at any eligible wholesale clubs, membership-based retailers and alcohol retailers. *
Get up to seven cents off per litre on Shell®± fuel, only for BMO cardholders. *
Your BMO AIR MILES credit card makes it easier to score Miles while you shop at your favourite brands.",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-airmiles-mastercard/
BMO CashBack® World Elite®* Mastercard®,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-cashback-world-elite-mastercard.png",$120,21.99%,23.99%,Get up to 10% cash back in your first 3 months and the $120 annual fee waived in the first year.,"Earn more cash back on the categories that mean the most: 5% on groceries, 4% on transit including ride sharing, taxis and public transportation, 3% on gas and electric vehicle charging, 2% on recurring bill payments like your monthly phone bill or favourite streaming services, and 1% unlimited cash back on all other purchases.",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-cashback-world-elite-mastercard/
BMO AIR MILES®  World Elite®* Mastercard®,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-air-miles-world-elite-mastercard.png",$120,21.99%,23.99%,"Get information pop-up opens,2,000 AIR MILES Bonus Miles and we™ll waive the $120 annual fee in the first year.","Get 3x the Miles for every $12 spent at participating AIR MILES Partners

Get 2x the Miles for every $12 spent at any eligible grocery store
Get 2x the Miles at any eligible wholesale clubs, membership-based retailers and alcohol retailers.

Get up to seven cents off per litre on Shell®± fuel, only for BMO cardholders.
Earn 5x the AIR MILES Reward Miles when booking flights, hotels, and car rentals. Plus, use less Miles with our exclusive 25% discount on one worldwide AIR MILES flight redemption during the calendar year.
Your BMO AIR MILES credit card makes it easier to score Miles while you shop at your favourite brands. *  1 Mile for $12 * Comprehensive Travel and Medical Protection up to 15 days.",BMO,https://www.bmo.com/main/personal/credit-cards/bmo-air-miles-world-elite-mastercard/
BMO Prepaid Mastercard®,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-prepaid-travel-mastercard.png",$9.99,0%,0%,N/A,N/A,BMO,https://www.bmo.com/main/personal/credit-cards/prepaid-credit-cards/
BMO U.S. Dollar Mastercard®,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-us-dollar.png",$49,21.99%,23.99%,N/A,Shop in U.S. dollars and skip exchange-rate surprises.,BMO,https://www.bmo.com/main/personal/credit-cards/us-dollar-mastercard/
Students “ BMO CashBack® Mastercard,"	https://www.bmo.com/dist/images/personal/credit-cards/bmo-cashback-mastercard.png",$0,21.99%,23.99%,Get 5% cash back in your first 3 months!,"After your first 3 months, get 3% cash back on grocery purchases, 1% cash back on recurring bill payments and 0.5% unlimited cash back on all other purchases!",BMO,https://www.bmo.com/main/personal/credit-cards/student-bmo-cashback-mastercard/
Student BMO AIR MILES®  Mastercard®,https://www.bmo.com/dist/images/personal/credit-cards/bmo-air-miles-mastercard.png,$0,21.99%,23.99%,Get 800 AIR MILES Bonus Miles¡ (that™s enough for $80 towards purchases with AIR MILES Cash).," 1 Mile for every $25 spent * Always get 3x the Miles for every $25 spent at participating AIR MILES Partners
Get 2x the Miles for every $25 spent at any eligible grocery store.",BMO,https://www.bmo.com/main/personal/credit-cards/student-no-fee-airmiles/
TD Cash Back Visa Infinite* Card,https://www.td.com/content/dam/tdct/images/personal-banking/cash-back-infinite-visa-card-large-1-en.jpeg,$139,20.99%,22.99%,"Earn up to $600 in value , including 10% in Cash Back Dollars in the first 3 months on Bonus Eligible Purchases up to a total spend of $3,5005. Conditions apply.","Complimentary Visa Infinite Concierge: On-call 24 hours a day, seven days a week. The Visa Infinite Concierge can help with any Cardholder request ” big or small, to help you get the most out of life whenever you travel, shop and use your Card. Call toll-free from Canada and the U.S.: 1-888-853-4458 From outside Canada and the U.S.: 1-630-350-4545. * Visa Infinite Luxury Hotel Collection9: Receive seven exclusive benefits when you book your stay through the Visa Infinite Luxury Hotel Collection featuring over 900 of the world™s most intriguing properties. * Travel Medical Insurance7 - Up to $2 million of coverage for the first 10 days. If you or your spouse is aged 65 or older, you are covered for the first 4 days of your trip. Additional top-up coverage is available.",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/cash-back/cash-back-visa-infinite-card
TD Cash Back Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/cash-back-entry-en.jpeg,$0,19.99%,22.99%,Earn Cash Back Dollars. Redeem them to help pay down your Account balance9.,"TD Payment Plans - Easily turn purchases of $100 or more into manageable 6, 12 or 18 month Payment Plans. Conditions apply. Learn more. * Option to Purchase TD Auto Club Membership
and be covered 24 hours a day for emergency roadside assistance services in case something goes wrong when you are out on the road. * Emergency Cash Advances - You can ask for an emergency Cash Advance in an amount up to $500 for your TD Cash Back Visa Card (subject to your available credit limit).",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/cash-back/cash-back-visa-card
TD® Aeroplan® Visa Infinite* Card,https://www.td.com/content/dam/tdct/images/personal-banking/aeroplan-infinite-visa-card-fr-comp39-en.jpeg,$139,20.99%,22.99%,"Earn up to $1,300 in value^ including up to 40,000 Aeroplan points1 and no annual fee for the first year1. Conditions Apply.","Travel lightly through the airport and save on baggage fees. Primary Cardholders, Additional Cardholders, and travel companions (up to eight) travelling on the same reservation will all enjoy their first checked bag free (up to 23kg/50lbs) when your travel originates on an Air Canada flight. * Visa Infinite Luxury Hotel Collection: Receive seven exclusive benefits when you book your stay through the Visa Infinite Luxury Hotel Collection featuring over 900 of the worlds most intriguing properties. * TD Payment Plans: Easily turn purchases of $100 more into manageable 6,12 or 18 month Payment Plans. Conditions apply. Learn more.",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-infinite-card
TD® Aeroplan® Visa Platinum* Credit Card,https://www.td.com/content/dam/tdct/images/personal-banking/app-banner-1-10-7-en.jpeg,$89,20.99%,22.99%,"Earn up to $500 in value#, including up to 20,000 Aeroplan points11 and no annual fee for the first year11. Conditions Apply.",Flight/Trip Delay Insurance: Up to $500 in coverage per insured person if your flight/trip is delayed for over 4 hours. * Auto Rental Collision/Loss Damage Insurance8: Coverage for up to 48 consecutive days. * Emergency Travel Assistance Services9: Help is just a call away. Toll-free access to help in the event of a personal emergency while travelling.,TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-platinum-card
TD® Aeroplan® Visa Infinite Privilege* Credit Card,https://www.td.com/content/dam/tdct/images/personal-banking/apip-banner-1-10-7-fr-en.jpeg,$599,20.99%,22.99%,"Earn up to $3,000 in value* including up to 85,000 Aeroplan points12. Conditions Apply.","Priority Check-In. Check-in faster at the airport6. You and up to eight travel companions travelling on the same reservation will all receive priority check-in for any trip that originates on an Air Canada flight. * Priority Boarding. Get on board your flight earlier6. You and up to eight travel companions travelling on the same reservation will all enjoy Zone 2 priority boarding for any Air Canada flight. * Enjoy your eUpgrades longer 29. Primary Cardholders who also hold Aeroplan Elite Status will benefit from an extra 12 months to use eUpgrade credits, for a total of 24 months from issuance.",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-infinite-privilege-card
TD First Class Travel® Visa Infinite* Card,https://www.td.com/content/dam/tdct/images/personal-banking/first-class-travel-en-comp27.jpeg,$139,20.99%,22.99%,"Earn up to $1,000 in value16, including up to 135,000 TD Rewards Points3 and no annual fee for the first year3. Conditions Apply.","Mobile Device Insurance: Up to $1,000 of coverage in the event of loss, theft, accidental damage, or mechanical breakdown for eligible mobile devices. * Visa Secure: Visa Secure provides you with increased security and convenience when you shop online. * Option to Purchase TD Auto Club Membership16 and be covered 24 hours a day for emergency roadside assistance services in case something goes wrong when you are out on the road.",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/first-class-travel-visa-infinite-card
TD Platinum Travel Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/TD_Platinum-Travel_EN_Comp27_548x344_tcm341-338972.jpg,$89,20.99%,22.99%,"Earn up to $370 in value14, including up to 50,000 TD Rewards Points4 and no annual fee for the first year4. Conditions Apply.","Flight/Trip Delay Insurance: Up to $500 in coverage if your flight/trip is delayed more than 4 hours. * Common Carrier Travel Accident Insurance: Up to $500,000 of coverage for covered losses while travelling on a common carrier (for example, a bus, ferry, plane, or train). * TD Payment Plans: Easily turn purchases of $100 or more into manageable 6, 12 or 18 month Payment Plans. Conditions apply.",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/platinum-travel-visa-card
TD Rewards Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/browse-all/RewardsTravel_VISA_MKT_RGB_L_EN_548x344.jpg,$0,19.99%,22.99%,"Earn a value of $5015,13 in TD Rewards Points to use on eligible Amazon.ca purchases plus, no Annual Fee. Conditions Apply.","Shop online through TDRewards.com: Redeem your TD Rewards Points for great deals on a wide selection of merchandise and gift cards * TD Payment Plans: Easily turn purchases of $100 or more into manageable 6, 12 or 18 month Payment Plans. Conditions apply",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/rewards-visa-card
TD Low Rate Visa* Card,https://www.td.com/content/dam/tdcom/canada/personal-banking/low-rate/lowrate-visa-mkt-en-286x180.png,$25,12.90%,12.90%,TD Low Rate Visa Card can help you balance everyday expenses.,"Save with Avis® Rent A Car and Budget® Rent A Car. Use your Canadian TD Credit Card to save a minimum of 10% off the lowest available base rates7,8 in Canada and the U.S., and a minimum of 5% off the lowest available base rates7,8 internationally, on qualifying car rentals at participating Avis and Budget locations. * Option to Purchase a TD Auto Club Membership9 and be covered 24 hours a day for emergency roadside assistance services in case something goes wrong when you are out on the road.",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/low-rate/low-rate-visa-card
